Transaction_ID,Travel_destination,Rating,Emotions,Comments
S00001,京都,3,ポジティブ,寺社仏閣が素晴らしかった
S00002,バリ島,4,ポジティブ,リゾートホテルが最高
S00003,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00004,箱根,2,ネガティブ,道路が渋滞していた
S00005,ニューヨーク,4,ポジティブ,自由の女神は圧巻
S00006,バリ島,1,ネガティブ,衛生面が少し心配
S00007,大阪,5,ポジティブ,食い倒れ最高！
S00008,バリ島,3,ポジティブ,リゾートホテルが最高
S00009,箱根,5,ポジティブ,のんびりできました
S00010,韓国,5,ポジティブ,コスメショッピングが楽しい
S00011,台湾,5,ポジティブ,小籠包が絶品
S00012,ハワイ,5,ポジティブ,ビーチが最高でした！
S00013,大阪,1,ネガティブ,人が多すぎて疲れた
S00014,ローマ,4,ポジティブ,歴史を感じる素晴らしい旅
S00015,シンガポール,4,ポジティブ,ナイトサファリが楽しかった
S00016,箱根,2,ネガティブ,天気が悪くて景色が見えず
S00017,北海道,5,ポジティブ,温泉も食事も大満足です
S00018,オーストラリア,5,ポジティブ,オペラハウスが圧巻
S00019,オーストラリア,1,ネガティブ,日差しが強すぎた
S00020,箱根,2,ネガティブ,道路が渋滞していた
S00021,九州,4,ポジティブ,温泉巡りが最高
S00022,九州,4,ポジティブ,阿蘇の景色に感動
S00023,東京ディズニー,5,ポジティブ,アトラクションが充実
S00024,大阪,2,ネガティブ,治安が少し心配だった
S00025,ニューヨーク,5,ポジティブ,グルメが充実
S00026,九州,4,ポジティブ,阿蘇の景色に感動
S00027,韓国,1,ネガティブ,言葉が通じず困った
S00028,大阪,3,ポジティブ,コスパが良かった
S00029,ニューヨーク,5,ポジティブ,自由の女神は圧巻
S00030,北海道,4,ポジティブ,海鮮が新鮮で美味しかった
S00031,沖縄,4,ポジティブ,星空がとても美しかった
S00032,沖縄,4,ポジティブ,シュノーケリングが最高
S00033,九州,4,ポジティブ,阿蘇の景色に感動
S00034,シンガポール,1,ネガティブ,物価が思ったより高い
S00035,九州,4,ポジティブ,自然豊かで癒されました
S00036,オーストラリア,5,ポジティブ,現地の人が親切でした
S00037,東京ディズニー,3,ポジティブ,夢の国で最高の思い出！
S00038,沖縄,5,ポジティブ,子連れでも楽しめました
S00039,グアム,2,ネガティブ,ホテルの質がイマイチ
S00040,バリ島,2,ネガティブ,衛生面が少し心配
S00041,パリ,3,ポジティブ,美術館巡りが最高
S00042,タイ,3,ポジティブ,タイ料理が絶品
S00043,九州,4,ポジティブ,歴史スポットが充実
S00044,四国,3,ポジティブ,お遍路体験が貴重でした
S00045,四国,2,ネガティブ,観光地間の移動が大変
S00046,東京ディズニー,5,ポジティブ,キャストの対応が素晴らしい
S00047,沖縄,4,ポジティブ,シュノーケリングが最高
S00048,四国,5,ポジティブ,お遍路体験が貴重でした
S00049,パリ,3,ポジティブ,美術館巡りが最高
S00050,バリ島,4,ポジティブ,リゾートホテルが最高
S00051,パリ,3,ポジティブ,美術館巡りが最高
S00052,パリ,5,ポジティブ,美術館巡りが最高
S00053,京都,3,ポジティブ,着物体験が楽しかった
S00054,東京ディズニー,3,ポジティブ,夢の国で最高の思い出！
S00055,台湾,5,ポジティブ,夜市が最高でした！
S00056,ハワイ,4,ポジティブ,現地の人がフレンドリー
S00057,韓国,4,ポジティブ,明洞の活気がすごい
S00058,台湾,5,ポジティブ,九份の雰囲気が素敵
S00059,東北,5,ポジティブ,祭りが最高でした
S00060,大阪,4,ポジティブ,食い倒れ最高！
S00061,韓国,5,ポジティブ,K-POP聖地巡りが最高
S00062,ハワイ,5,ポジティブ,現地の人がフレンドリー
S00063,ニューヨーク,5,ポジティブ,エネルギッシュな街でした
S00064,パリ,5,ポジティブ,街並みが美しかった
S00065,東北,5,ポジティブ,温泉と自然が素晴らしい
S00066,ニューヨーク,5,ポジティブ,ブロードウェイが最高
S00067,東京ディズニー,5,ポジティブ,家族全員が楽しめました
S00068,台湾,5,ポジティブ,九份の雰囲気が素敵
S00069,沖縄,4,ポジティブ,海がとても綺麗でした！
S00070,グアム,4,ポジティブ,手軽に海外リゾート気分
S00071,台湾,4,ポジティブ,夜市が最高でした！
S00072,韓国,2,ネガティブ,言葉が通じず困った
S00073,大阪,1,ネガティブ,治安が少し心配だった
S00074,大阪,2,ネガティブ,治安が少し心配だった
S00075,箱根,5,ポジティブ,美術館巡りが楽しかった
S00076,東北,4,ポジティブ,祭りが最高でした
S00077,ハワイ,5,ポジティブ,ダイヤモンドヘッドからの景色が絶景
S00078,九州,2,ネガティブ,天候に恵まれなかった
S00079,ローマ,4,ポジティブ,イタリア料理が最高
S00080,東京ディズニー,5,ポジティブ,夢の国で最高の思い出！
S00081,韓国,5,ポジティブ,韓国料理が美味しかった
S00082,ハワイ,4,ポジティブ,現地の人がフレンドリー
