Transaction_ID,Date,Travel_destination,Category,Schedule,Price,Price_per_person,Number_of_people,Age_group
S00001,2024/01/24,京都,国内,2泊3日,64000,32000,2,20代
S00002,2024/01/02,バリ島,海外,4泊5日,107000,107000,1,30代
S00003,2024/01/15,ハワイ,海外,6泊7日,768000,192000,4,20代
S00004,2024/01/25,箱根,国内,2泊3日,54000,27000,2,30代
S00005,2024/01/18,ニューヨーク,海外,5泊6日,2070000,345000,6,30代
S00006,2024/01/23,バリ島,海外,4泊5日,176000,176000,1,30代
S00007,2024/01/15,大阪,国内,3泊4日,128000,32000,4,30代
S00008,2024/01/06,バリ島,海外,6泊7日,796000,199000,4,30代
S00009,2024/01/11,箱根,国内,1泊2日,50000,25000,2,20代
S00010,2024/01/11,韓国,海外,2泊3日,308000,77000,4,30代
S00011,2024/01/18,台湾,海外,3泊4日,312000,78000,4,40代
S00012,2024/01/03,ハワイ,海外,4泊5日,960000,192000,5,30代
S00013,2024/01/20,大阪,国内,2泊3日,144000,48000,3,60代
S00014,2024/01/18,ローマ,海外,7泊8日,1028000,257000,4,30代
S00015,2024/01/25,シンガポール,海外,3泊4日,486000,162000,3,20代
S00016,2024/01/12,箱根,国内,1泊2日,96000,32000,3,50代
S00017,2024/01/30,北海道,国内,3泊4日,275000,55000,5,50代
S00018,2024/01/03,オーストラリア,海外,8泊9日,1280000,320000,4,60代
S00019,2024/01/06,オーストラリア,海外,7泊8日,708000,236000,3,40代
S00020,2024/01/10,箱根,国内,2泊3日,174000,29000,6,40代
S00021,2024/01/11,九州,国内,2泊3日,132000,44000,3,30代
S00022,2024/01/29,九州,国内,2泊3日,230000,46000,5,20代
S00023,2024/01/30,東京ディズニー,国内,2泊3日,66000,33000,2,40代
S00024,2024/01/14,大阪,国内,2泊3日,205000,41000,5,20代
S00025,2024/01/26,ニューヨーク,海外,5泊6日,636000,318000,2,30代
S00026,2024/01/30,九州,国内,2泊3日,132000,66000,2,60代
S00027,2024/01/03,韓国,海外,2泊3日,98000,49000,2,40代
S00028,2024/01/13,大阪,国内,2泊3日,145000,29000,5,50代
S00029,2024/02/05,ニューヨーク,海外,5泊6日,704000,352000,2,60代
S00030,2024/02/19,北海道,国内,3泊4日,135000,45000,3,60代
S00031,2024/02/03,沖縄,国内,4泊5日,385000,77000,5,40代
S00032,2024/02/22,沖縄,国内,4泊5日,171000,57000,3,30代
S00033,2024/02/05,九州,国内,4泊5日,105000,35000,3,40代
S00034,2024/02/03,シンガポール,海外,5泊6日,252000,126000,2,30代
S00035,2024/02/15,九州,国内,4泊5日,260000,65000,4,40代
S00036,2024/02/04,オーストラリア,海外,6泊7日,750000,375000,2,60代
S00037,2024/02/11,東京ディズニー,国内,1泊2日,148000,37000,4,60代
S00038,2024/02/14,沖縄,国内,3泊4日,49000,49000,1,30代
S00039,2024/02/14,グアム,海外,5泊6日,171000,171000,1,20代
S00040,2024/02/05,バリ島,海外,5泊6日,220000,110000,2,30代
S00041,2024/02/12,パリ,海外,8泊9日,2658000,443000,6,50代
S00042,2024/02/01,タイ,海外,3泊4日,456000,114000,4,30代
S00043,2024/02/26,九州,国内,4泊5日,122000,61000,2,60代
S00044,2024/02/27,四国,国内,2泊3日,82000,41000,2,50代
S00045,2024/02/17,四国,国内,3泊4日,156000,39000,4,50代
S00046,2024/02/09,東京ディズニー,国内,1泊2日,88000,44000,2,40代
S00047,2024/02/19,沖縄,国内,2泊3日,80000,40000,2,50代
S00048,2024/02/03,四国,国内,3泊4日,96000,32000,3,50代
S00049,2024/02/11,パリ,海外,8泊9日,1000000,250000,4,40代
S00050,2024/02/10,バリ島,海外,5泊6日,525000,175000,3,20代
S00051,2024/02/15,パリ,海外,8泊9日,648000,324000,2,30代
S00052,2024/02/10,パリ,海外,7泊8日,262000,262000,1,60代
S00053,2024/02/02,京都,国内,1泊2日,180000,30000,6,40代
S00054,2024/02/23,東京ディズニー,国内,2泊3日,123000,41000,3,30代
S00055,2024/02/08,台湾,海外,2泊3日,280000,70000,4,50代
S00056,2024/02/26,ハワイ,海外,7泊8日,1224000,306000,4,60代
S00057,2024/03/18,韓国,海外,3泊4日,330000,66000,5,50代
S00058,2024/03/17,台湾,海外,3泊4日,135000,45000,3,30代
S00059,2024/03/18,東北,国内,2泊3日,96000,48000,2,30代
S00060,2024/03/18,大阪,国内,2泊3日,68000,34000,2,30代
S00061,2024/03/25,韓国,海外,4泊5日,116000,58000,2,20代
S00062,2024/03/24,ハワイ,海外,5泊6日,831000,277000,3,30代
S00063,2024/03/27,ニューヨーク,海外,6泊7日,1700000,340000,5,60代
